title,address
17 Again,https://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1
Marty,https://www.imdb.com/title/tt0048356/?ref_=fn_tt_tt_1
Timber Falls,https://www.imdb.com/title/tt0857295/?ref_=fn_tt_tt_1
Ed TV,https://www.imdb.com/title/tt0131369/?ref_=fn_tt_tt_1
Jacob's Ladder,https://www.imdb.com/title/tt0099871/?ref_=fn_tt_tt_1
Chaos,https://www.imdb.com/title/tt8267604/?ref_=fn_tt_tt_1
Shampoo,https://www.imdb.com/title/tt0073692/?ref_=fn_tt_tt_1
Petulia,https://www.imdb.com/title/tt0063426/?ref_=fn_tt_tt_1
Mary Poppins,https://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1
187,https://www.imdb.com/title/tt0118531/?ref_=fn_tt_tt_1
"Green Mile, The",https://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1
Jade,https://www.imdb.com/title/tt0113451/?ref_=fn_tt_tt_1
Charade,https://www.imdb.com/title/tt0056923/?ref_=fn_tt_tt_1
"Shawshank Redemption, The",https://www.imdb.com/title/tt0111161/?ref_=fn_tt_tt_1
"Time Machine, The",https://www.imdb.com/title/tt0054387/?ref_=fn_tt_tt_1
Ed Wood,https://www.imdb.com/title/tt0109707/?ref_=fn_tt_tt_1
"Mask, The",https://www.imdb.com/title/tt0110475/?ref_=fn_tt_tt_1
Philadelphia,https://www.imdb.com/title/tt0472954/?ref_=fn_tt_tt_1
Bad Santa,https://www.imdb.com/title/tt0307987/?ref_=fn_tt_tt_1
2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1
Charlie's Angels,https://www.imdb.com/title/tt5033998/?ref_=fn_tt_tt_1
Tin Cup,https://www.imdb.com/title/tt0117918/?ref_=fn_tt_tt_1
Bad Teacher,https://www.imdb.com/title/tt1284575/?ref_=fn_tt_tt_1
Phone Booth,https://www.imdb.com/title/tt0183649/?ref_=fn_tt_tt_1
She's Out of My League,https://www.imdb.com/title/tt0815236/?ref_=fn_tt_tt_1
Edward Scissorhands,https://www.imdb.com/title/tt0099487/?ref_=fn_tt_tt_1
Tin Men,https://www.imdb.com/title/tt0094155/?ref_=fn_tt_tt_1
Jane Eyre,https://www.imdb.com/title/tt1229822/?ref_=fn_tt_tt_1
Gremlins,https://www.imdb.com/title/tt0087363/?ref_=fn_tt_tt_1
Badlands,https://www.imdb.com/title/tt3865236/?ref_=fn_tt_tt_1
Eight Legged Freaks,https://www.imdb.com/title/tt0271367/?ref_=fn_tt_tt_1
Pi,https://www.imdb.com/title/tt0138704/?ref_=fn_tt_tt_1
Chasing Amy,https://www.imdb.com/title/tt0118842/?ref_=fn_tt_tt_1
2012,https://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1
Sherlock Holmes,https://www.imdb.com/title/tt0988045/?ref_=fn_tt_tt_1
Master and Commander,https://www.imdb.com/title/tt0311113/?ref_=fn_tt_tt_1
Tinker Tailor Soldier Spy,https://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1
Shifty,https://www.imdb.com/title/tt1104126/?ref_=fn_tt_tt_1
El Mariachi,https://www.imdb.com/title/tt0104815/?ref_=fn_tt_tt_1
Bamboozled,https://www.imdb.com/title/tt0215545/?ref_=fn_tt_tt_1
"Pianist, The",https://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1
Chasing Sleep,https://www.imdb.com/title/tt0221069/?ref_=fn_tt_tt_1
25th Hour,https://www.imdb.com/title/tt0307901/?ref_=fn_tt_tt_1
"Shining, The",https://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1
Barry Lyndon,https://www.imdb.com/title/tt0072684/?ref_=fn_tt_tt_1
Cherry Falls,https://www.imdb.com/title/tt0175526/?ref_=fn_tt_tt_1
30 Minutes or Less,https://www.imdb.com/title/tt1622547/?ref_=fn_tt_tt_1
"Shipping News, The",https://www.imdb.com/title/tt0120824/?ref_=fn_tt_tt_1
Barton Fink,https://www.imdb.com/title/tt0101410/?ref_=fn_tt_tt_1
Shivers,https://www.imdb.com/title/tt0073705/?ref_=fn_tt_tt_1
Chinatown,https://www.imdb.com/title/tt0071315/?ref_=fn_tt_tt_1
Basic,https://www.imdb.com/title/tt0264395/?ref_=fn_tt_tt_1
Christ Complex,https://www.imdb.com/title/tt2416048/?ref_=fn_tt_tt_1
Shrek,https://www.imdb.com/title/tt0126029/?ref_=fn_tt_tt_1
Basic Instinct,https://www.imdb.com/title/tt0103772/?ref_=fn_tt_tt_1
Chronicle,https://www.imdb.com/title/tt1706593/?ref_=fn_tt_tt_1
Basquiat,https://www.imdb.com/title/tt0115632/?ref_=fn_tt_tt_1
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1
42,https://www.imdb.com/title/tt0453562/?ref_=fn_tt_tt_1
Batman,https://www.imdb.com/title/tt0096895/?ref_=fn_tt_tt_1
"Master, The",https://www.imdb.com/title/tt1560747/?ref_=fn_tt_tt_1
"Cider House Rules, The",https://www.imdb.com/title/tt0124315/?ref_=fn_tt_tt_1
Gremlins 2,https://www.imdb.com/title/tt0099700/?ref_=fn_tt_tt_1
Election,https://www.imdb.com/title/tt0126886/?ref_=fn_tt_tt_1
Jason X,https://www.imdb.com/title/tt0211443/?ref_=fn_tt_tt_1
44 Inch Chest,https://www.imdb.com/title/tt0914837/?ref_=fn_tt_tt_1
"Piano, The",https://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1
"Grifters, The",https://www.imdb.com/title/tt0099703/?ref_=fn_tt_tt_1
Jaws,https://www.imdb.com/title/tt0073195/?ref_=fn_tt_tt_1
Batman 2,https://www.imdb.com/title/tt0103776/?ref_=fn_tt_tt_1
Matchstick Men,https://www.imdb.com/title/tt0325805/?ref_=fn_tt_tt_1
"Elephant Man, The",https://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1
Shrek the Third,https://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1
48 Hrs.,https://www.imdb.com/title/tt0083511/?ref_=fn_tt_tt_1
"Cincinnati Kid, The",https://www.imdb.com/title/tt0059037/?ref_=fn_tt_tt_1
Sicario,https://www.imdb.com/title/tt3397884/?ref_=fn_tt_tt_1
Elizabeth: The Golden Age,https://www.imdb.com/title/tt0414055/?ref_=fn_tt_tt_1
50-50,https://www.imdb.com/title/tt0106902/?ref_=fn_tt_tt_1
Cinema Paradiso,https://www.imdb.com/title/tt0095765/?ref_=fn_tt_tt_1
Titanic,https://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1
Pineapple Express,https://www.imdb.com/title/tt0910936/?ref_=fn_tt_tt_1
Jaws 2,https://www.imdb.com/title/tt0077766/?ref_=fn_tt_tt_1
Sideways,https://www.imdb.com/title/tt0375063/?ref_=fn_tt_tt_1
500 Days of Summer,https://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1
TMNT,https://www.imdb.com/title/tt0453556/?ref_=fn_tt_tt_1
Cirque du Freak: The Vampire's Assistant,https://www.imdb.com/title/tt0450405/?ref_=fn_tt_tt_1
Pirates of the Caribbean,https://www.imdb.com/title/tt0325980/?ref_=fn_tt_tt_1
Jay and Silent Bob Strike Back,https://www.imdb.com/title/tt0261392/?ref_=fn_tt_tt_1
8 Mile,https://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1
To Sleep with Anger,https://www.imdb.com/title/tt0100791/?ref_=fn_tt_tt_1
Pirates of the Caribbean: Dead Man's Chest,https://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1
Grosse Point Blank,https://www.imdb.com/title/tt0119229/?ref_=fn_tt_tt_1
"Matrix Reloaded, The",https://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1
"Siege, The",https://www.imdb.com/title/tt0105690/?ref_=fn_tt_tt_1
Citizen Kane,https://www.imdb.com/title/tt0033467/?ref_=fn_tt_tt_1
Enemy of the State,https://www.imdb.com/title/tt0120660/?ref_=fn_tt_tt_1
Jennifer Eight,https://www.imdb.com/title/tt0104549/?ref_=fn_tt_tt_1
Tombstone,https://www.imdb.com/title/tt0108358/?ref_=fn_tt_tt_1
Batman and Robin,https://www.imdb.com/title/tt0118688/?ref_=fn_tt_tt_1
8MM,https://www.imdb.com/title/tt0134273/?ref_=fn_tt_tt_1
"Matrix, The",https://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1
"English Patient, The",https://www.imdb.com/title/tt0116209/?ref_=fn_tt_tt_1
Groundhog Day,https://www.imdb.com/title/tt0107048/?ref_=fn_tt_tt_1
City of Joy,https://www.imdb.com/title/tt0103976/?ref_=fn_tt_tt_1
Tomorrow Never Dies,https://www.imdb.com/title/tt0120347/?ref_=fn_tt_tt_1
9,https://www.imdb.com/title/tt0472033/?ref_=fn_tt_tt_1
Jennifer's Body,https://www.imdb.com/title/tt1131734/?ref_=fn_tt_tt_1
Max Payne,https://www.imdb.com/title/tt0467197/?ref_=fn_tt_tt_1
Signs,https://www.imdb.com/title/tt0286106/?ref_=fn_tt_tt_1
Pitch Black,https://www.imdb.com/title/tt0134847/?ref_=fn_tt_tt_1
Batman Begins,https://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1
"Grudge, The",https://www.imdb.com/title/tt3612126/?ref_=fn_tt_tt_1
Enough,https://www.imdb.com/title/tt0278435/?ref_=fn_tt_tt_1
Top Gun,https://www.imdb.com/title/tt0092099/?ref_=fn_tt_tt_1
Jerry Maguire,https://www.imdb.com/title/tt0116695/?ref_=fn_tt_tt_1
Silence of the Lambs,https://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1
"Planet of the Apes, The",https://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1
Clash of the Titans,https://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1
Entrapment,https://www.imdb.com/title/tt0137494/?ref_=fn_tt_tt_1
Jeux Interdits,https://www.imdb.com/title/tt0043686/?ref_=fn_tt_tt_1
Batman Forever,https://www.imdb.com/title/tt0112462/?ref_=fn_tt_tt_1
Silver Bullet,https://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1
Platinum Blonde,https://www.imdb.com/title/tt0022268/?ref_=fn_tt_tt_1
Total Recall,https://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1
Guardians of the Galaxy Vol 2,https://www.imdb.com/title/tt8805968/?ref_=fn_tt_tt_1
Mean Streets,https://www.imdb.com/title/tt0070379/?ref_=fn_tt_tt_1
A Few Good Men,https://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1
Clerks,https://www.imdb.com/title/tt0109445/?ref_=fn_tt_tt_1
Batman Returns,https://www.imdb.com/title/tt0103776/?ref_=fn_tt_tt_1
Hackers,https://www.imdb.com/title/tt0113243/?ref_=fn_tt_tt_1
Hall Pass,https://www.imdb.com/title/tt0480687/?ref_=fn_tt_tt_1
"Battle of Algiers, The",https://www.imdb.com/title/tt0058946/?ref_=fn_tt_tt_1
Cliffhanger,https://www.imdb.com/title/tt0106582/?ref_=fn_tt_tt_1
JFK,https://www.imdb.com/title/tt0102138/?ref_=fn_tt_tt_1
Equilibrium,https://www.imdb.com/title/tt0238380/?ref_=fn_tt_tt_1
Silver Linings Playbook,https://www.imdb.com/title/tt1045658/?ref_=fn_tt_tt_1
"Mechanic, The",https://www.imdb.com/title/tt0068931/?ref_=fn_tt_tt_1
A Most Violent Year,https://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1
"Tourist, The",https://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1
"Battle of Shaker Heights, The",https://www.imdb.com/title/tt0357470/?ref_=fn_tt_tt_1
"Clockwork Orange, A",https://www.imdb.com/title/tt0066921/?ref_=fn_tt_tt_1
Halloween: The Curse of Michael Myers,https://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1
Meet Joe Black,https://www.imdb.com/title/tt0119643/?ref_=fn_tt_tt_1
Simone,https://www.imdb.com/title/tt0258153/?ref_=fn_tt_tt_1
Erik the Viking,https://www.imdb.com/title/tt0097289/?ref_=fn_tt_tt_1
Single White Female,https://www.imdb.com/title/tt0105414/?ref_=fn_tt_tt_1
Meet John Doe,https://www.imdb.com/title/tt0033891/?ref_=fn_tt_tt_1
Clueless,https://www.imdb.com/title/tt0112697/?ref_=fn_tt_tt_1
Sister Act,https://www.imdb.com/title/tt0105417/?ref_=fn_tt_tt_1
Toy Story,https://www.imdb.com/title/tt0114709/?ref_=fn_tt_tt_1
Megamind,https://www.imdb.com/title/tt1001526/?ref_=fn_tt_tt_1
Erin Brockovich,https://www.imdb.com/title/tt0195685/?ref_=fn_tt_tt_1
Cobb,https://www.imdb.com/title/tt0109450/?ref_=fn_tt_tt_1
Six Degrees of Separation,https://www.imdb.com/title/tt0108149/?ref_=fn_tt_tt_1
Traffic,https://www.imdb.com/title/tt0181865/?ref_=fn_tt_tt_1
Coco,https://www.imdb.com/title/tt2380307/?ref_=fn_tt_tt_1
Memento,https://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1
"Sixth Sense, The",https://www.imdb.com/title/tt0167404/?ref_=fn_tt_tt_1
